listing_id,suburb,property_type,rent_weekly,bonds,bedrooms,bathrooms,furnished,parking,pets_allowed,available_from,distance_to_uwa_km,safety_rating,description_length
1001,Nedlands,1 BR,767,3068,1,1,Semi,No,Yes,2026-07-05,3.9,9,203
1002,Subiaco,2 BR,892,3568,2,2,No,Yes,No,2026-07-12,2.0,1,235
1003,Mount Lawley,Shared Room,258,1032,3,1,Semi,Yes,Yes,2026-07-19,2.7,6,78
1004,Crawley,1 BR,525,2100,1,1,Yes,Yes,Yes,2026-07-26,4.1,7,158
1005,Shenton Park,1 BR,546,2184,1,1,Yes,Yes,,2026-08-02,2.8,3,147
1006,Fremantle,2 BR,781,3124,2,1,Semi,No,No,2026-08-09,3.2,8,264
1007,Victoria Park,Shared Room,209,836,2,1,Yes,Yes,No,2026-08-16,4.6,5,86
1008,Leederville,Shared Room,215,860,4,1,Semi,No,No,2026-08-23,3.0,9,124
1009,Claremont,1 BR,698,2792,1,1,Yes,Yes,No,2026-08-30,13.5,5,119
1010,Cottesloe,Studio Room,681,2724,1,1,Yes,,No,2026-09-06,1.7,9,195
1011,Nedlands,1 BR,585,2340,1,1,Semi,No,No,2026-09-13,8.1,4,177
1012,Subiaco,1 BR,749,2996,1,1,Yes,Yes,Yes,2026-09-20,6.5,9,134
1013,Mount Lawley,1 BR,769,3076,1,1,Semi,Yes,Yes,2026-09-27,14.7,5,91
1014,Crawley,1 BR,616,2464,1,1,Yes,Yes,No,2026-10-04,2.1,9,149
1015,Shenton Park,2 BR,756,3024,2,2,Yes,Yes,Yes,2026-10-11,6.3,3,90
1016,Fremantle,Shared Room,336,1344,4,2,No,,Yes,2026-10-18,14.6,4,215
1017,Victoria Park,2 BR,864,3456,2,2,No,,Yes,2026-10-25,13.0,9,83
1018,Leederville,2 BR,925,3700,2,1,Semi,Yes,No,2026-11-01,12.3,6,66
1019,Claremont,2 BR,821,3284,2,1,No,No,No,2026-11-08,4.2,2,214
1020,Cottesloe,1 BR,714,2856,1,1,Semi,Yes,Yes,2026-11-15,3.0,7,202
1021,Nedlands,Studio Room,481,1924,1,1,No,Yes,No,2026-11-22,10.2,2,279
1022,Subiaco,Shared Room,315,1260,3,2,Yes,Yes,Yes,2026-11-29,14.0,2,171
1023,Mount Lawley,Studio Room,502,2008,1,1,Semi,Yes,,2026-12-06,8.6,1,125
1024,Crawley,2 BR,766,3064,2,2,Semi,Yes,Yes,2026-12-13,8.8,3,136
1025,Shenton Park,2 BR,763,3052,2,1,Yes,No,Yes,2026-12-20,4.6,6,166
1026,Fremantle,Studio Room,558,2232,1,1,Semi,Yes,No,2026-12-27,11.7,8,155
1027,Victoria Park,Studio Room,551,2204,1,1,Semi,Yes,No,2027-01-03,3.2,9,135
1028,Leederville,Studio Room,507,2028,1,1,No,Yes,No,2027-01-10,5.2,7,262
1029,Claremont,2 BR,937,3748,2,2,Semi,Yes,Yes,2027-01-17,6.7,4,76
1030,Cottesloe,2 BR,794,3176,2,2,Yes,Yes,No,2027-01-24,7.9,6,106
1031,Nedlands,Shared Room,297,1188,2,2,No,No,Yes,2027-01-31,4.0,5,80
1032,Subiaco,Shared Room,330,1320,2,1,No,Yes,No,2027-02-07,2.2,8,183
1033,Mount Lawley,2 BR,786,3144,2,1,Yes,No,Yes,2027-02-14,9.4,1,268
1034,Crawley,Studio Room,570,2280,1,1,Yes,No,Yes,2027-02-21,4.7,1,217
1035,Shenton Park,Studio Room,582,2328,1,1,No,Yes,Yes,2027-02-28,8.9,6,147
1036,Fremantle,Shared Room,307,1228,3,2,Semi,Yes,No,2027-03-07,2.7,2,61
1037,Victoria Park,2 BR,788,3152,2,1,No,Yes,,2027-03-14,7.5,5,286
1038,Leederville,Shared Room,214,856,3,1,Yes,,No,2027-03-21,8.2,1,298
1039,Claremont,Shared Room,319,1276,4,2,No,No,No,2027-03-28,1.3,7,102
1040,Cottesloe,1 BR,503,2012,1,1,Yes,Yes,,2027-04-04,5.4,1,248
1041,Nedlands,1 BR,709,2836,1,1,No,Yes,No,2027-04-11,2.4,4,187
1042,Subiaco,1 BR,660,2640,1,1,Semi,Yes,No,2027-04-18,1.4,9,222
1043,Mount Lawley,Studio Room,415,1660,1,1,No,Yes,,2027-04-25,14.9,1,194
1044,Crawley,2 BR,986,3944,2,1,No,Yes,Yes,2027-05-02,5.2,4,203
1045,Shenton Park,2 BR,919,3676,2,2,Yes,Yes,Yes,2027-05-09,12.2,6,262
